"Fund name","Location","Description","Website","LinkedIn","Investment Stage","CB Rank (Organization)","Founded Date","Organization URL","Industries","Total Funding","Number of Investments 2025","Number of Investments 2026","Number of Investments","Number of Lead Investments","Contact Email"," ","","","","","","","","",""
"Gefen Biomed Investments","Ashkelon","Gefen Biomed Investments engages in the location, screening, and investment in early-stage biotechnology and medical technology companies.","http://www.gefenbiomed.com/","https://www.linkedin.com/company/gefen-biomed-investments-ltd","-","4 036 805","1969-01-01","https://www.crunchbase.com/organization/gefen-biomed-investments","","","","","2","","benny@ati.co.il"," ","","","","","","","","",""
"Apropos IT Ventures","Jerusalem","Apropos IT Ventures is a venture capital fund that invests in seed and early stage companies in Israel.","http://www.aitventures.com","-","Late Stage Venture","4 160 364","","https://www.crunchbase.com/organization/apropos-it-ventures","","","","","2","","-"," ","","","","","","","","",""
"ComSor Venture Fund","Tel Aviv","Specializes in seed, early venture, mid venture, late venture, emerging growth, and growth capital investments","-","-","-","4 230 077","","https://www.crunchbase.com/organization/comsor-venture-fund","","","","","2","","-"," ","","","","","","","","",""
"Titan Capital Partners","Tel Aviv","An investment firm investing in world-class tech companies and private equity partnerships directly or via secondary transactions.","http://www.titan-capital.com","https://www.linkedin.com/company/titan-capital-partners/","Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Secondary Market","62 665","2021-09-01","https://www.crunchbase.com/organization/titan-capital-partners","","","","","1","","ben@titan-capital.com"," ","","","","","","","","",""
"Generation Capital","Herzliya","An Israeli investment fund.","https://generationcapital.co.il/","https://www.linkedin.com/company/generationcapital","-","89 368","2018-01-01","https://www.crunchbase.com/organization/generation-capital-9eb7","","","","","1","","Office@generation.co.il"," ","","","","","","","","",""
"Sky Fund","Tel Aviv","Sky Fund is a mid-market Israeli Private Equity fund.","http://skyfund.co.il","https://www.linkedin.com/company/sky-fund","Private Equity","96 797","2005-01-01","https://www.crunchbase.com/organization/sky-private-equity","","","","","1","","info@skyfund.co.il"," ","","","","","","","","",""
"Elah Fund","Neve Yaakov","Elah Fund is a growth capital impact fund","http://www.elahfund.com/","https://www.linkedin.com/company/elahfund","-","139 923","2016-01-01","https://www.crunchbase.com/organization/elah-fund","","","","","1","","-"," ","","","","","","","","",""
"Velocityx","Tel Aviv","Velocityx operates as a venture group investing at the nexus of AI, Data, and Security.","https://www.velocityx.vc/","https://www.linkedin.com/company/velocityxvc/about/","Early Stage Venture","225 021","","https://www.crunchbase.com/organization/velocityx","","","","","1","","-"," ","","","","","","","","",""
"Dark Boot Investments","Tel Aviv","Dark Boot Investments is a dynamic investment holding group with strategic investments.","https://www.darkboot.vc/","https://www.linkedin.com/company/dbgroup-investments/","-","340 458","2015-01-01","https://www.crunchbase.com/organization/dark-boot-investments","","","","","1","","-"," ","","","","","","","","",""
"Intuition Fund","Tel Aviv","Intuition Fund is a seed investor and its mission is to enable entrepreneurs to reach their dreams.","http://www.intuition.fund","https://www.linkedin.com/company/intuition-fund/","Early Stage Venture, Seed","517 889","2020-01-01","https://www.crunchbase.com/organization/intuition-fund","","","","","1","","-"," ","","","","","","","","",""
"Shefa Capital","Jerusalem","Shefa Capital is a venture capital fund that focuses on later-stage opportunities for interesting and visionary companies.","https://www.shefacap.com/","https://www.linkedin.com/company/shefa-cap/","-","684 309","2018-06-01","https://www.crunchbase.com/organization/shefa-capital","","","","","1","1","-"," ","","","","","","","","",""
"eHealth Ventures","Tel Aviv","eHealthVentures is a digital health investment company that focuses on digital therapeutics and diagnostics.","https://ehv.health","https://www.linkedin.com/company/ehealth-ventures-llc","-","763 000","","https://www.crunchbase.com/organization/ehealth-ventures-malam-team-maccabi","","","","","1","","-"," ","","","","","","","","",""
"Team8 FinTech","Tel Aviv","Team8 FinTech partners with entrepreneurs to co-found transformative fintech companies.","https://team8.vc/team8-fintech/","https://www.linkedin.com/company/team8group/","-","807 257","2014-01-01","https://www.crunchbase.com/organization/team8-fintech","","","","","1","1","info@team8.vc"," ","","","","","","","","",""
"Stealth Mode Venture","Tel Aviv","Stealth Mode Venture is a company that provides venture capital & private equity.","-","-","-","820 820","","https://www.crunchbase.com/organization/stealth-mode-venture","","","","","1","","-"," ","","","","","","","","",""
"40RTY Fund","Tel Aviv","40RTY Fund is a bold early stage Venture Capital firm.","https://www.40rty.vc","https://www.linkedin.com/company/40rty-fund","-","958 962","","https://www.crunchbase.com/organization/40rty-fund","","","","","1","1","info@40rty.vc"," ","","","","","","","","",""
"MII","Rehovot","MII invests in dermatology related technologies across different stages seed to growth.","https://www.miiscience.com/","https://www.linkedin.com/company/mii-fund-labs/","Early Stage Venture, Late Stage Venture, Seed","1 016 784","","https://www.crunchbase.com/organization/mii-5159","","","","","1","1","info@miiscience.com"," ","","","","","","","","",""
"Wekix VC","Ramat Gan","The Wekix Solution Wekix is an early-stage media and technology Micro-fund providing entrepreneurs and Their pre-seed startups with a","http://www.Wekix.com","http://www.linkedin.com/company/280508","Seed","1 045 102","2009-01-01","https://www.crunchbase.com/organization/wekix","","","","","1","","info@wekix.com"," ","","","","","","","","",""
"Intempo Ventures","Tel Aviv","Intempo Ventures is a Tel-Aviv-based investment office.","https://www.intempo.ventures/","https://www.linkedin.com/company/intempo-ventures/","Early Stage Venture","1 086 755","2021-01-01","https://www.crunchbase.com/organization/intempo-ventures","","","","","1","","olivier.resnik@intempo.ventures"," ","","","","","","","","",""
"Ben Oldman Partners","Tel Aviv","Alternative investment firm. Tel Aviv","http://www.benoldman.com","https://www.linkedin.com/company/ben-oldman-partners/","-","1 148 074","2009-01-01","https://www.crunchbase.com/organization/ben-oldman-partners","","","","","1","","info@benoldman.com"," ","","","","","","","","",""
"The Flying Whale Ventures","Tel Aviv","We invest and advise to brave founders, building consumer-centric Startups, aiming to become the brands of the future.","https://www.TheFlyingWhale.fund","https://www.linkedin.com/company/the-flying-whale-ventures/","-","1 397 244","2020-01-01","https://www.crunchbase.com/organization/the-b2c-s","","","","","1","1","Hello@TheFlyingWhale.fund"," ","","","","","","","","",""
"Moonscape Ventures","Tel Aviv","Moonscape Ventures is a corporate business development and opportunity fund.","http://moonscapevc.com/","https://www.linkedin.com/company/moonscape-ventures/","Early Stage Venture","1 679 208","2014-01-01","https://www.crunchbase.com/organization/moonscape-ventures","","","","","1","1","ideas@moonscapevc.com"," ","","","","","","","","",""
"One Travel Ventures","Ilania","One Travel Ventures offers travel services.","-","https://www.linkedin.com/company/one-travel-ventures/","-","2 220 795","","https://www.crunchbase.com/organization/one-travel-ventures","","","","","1","","-"," ","","","","","","","","",""
"Tamir Fishman CIG Russia Fund","Tel Aviv","The Tamir Fishman-CIG Venture fund began investments in 2009.","https://www.tamirfishman.co.il","-","Early Stage Venture","2 254 965","2009-01-01","https://www.crunchbase.com/organization/tamir-fishman-cig-russia-fund","","","","","1","1","info@tamfish.com"," ","","","","","","","","",""
"GN-Z11 Ventures","Tel Aviv","GN-Z11 is a group of worldwide investors looking for the next great thing in early-stage deep-tech firms.","https://www.gnz-11.co/","https://www.linkedin.com/company/gnz-11","Early Stage Venture, Seed","2 287 043","","https://www.crunchbase.com/organization/gn-z11-ventures","","","","","1","","-"," ","","","","","","","","",""
"Highgrade Ventures","Tel Aviv","Highgrade Ventures is a new investment fund for early-stage EdTech startups from the UK and Israel.","https://highgradevc.com/","https://www.linkedin.com/company/highgradevc","Early Stage Venture","2 822 964","2017-01-01","https://www.crunchbase.com/organization/highgrade-ventures","","","","","1","1","-"," ","","","","","","","","",""
"Hawk Digital Innovation","Tel Aviv","Hawk Digital Innovation investments in startups operating in the fields of groundbreaking infrastructure technologies.","https://www.hawkdigital.io/","https://www.linkedin.com/company/hawk-digital-innovation/","Early Stage Venture, Seed, Venture","2 951 420","2021-01-01","https://www.crunchbase.com/organization/hawk-digital-innovation","","","","","1","","contact@hawkdigitalinnovation.com"," ","","","","","","","","",""
"OXen9","Be'er Sheva","Oxen9 is a venture capital firm in promising start-ups.","https://oxen9.com/","https://www.linkedin.com/company/oxen9","Early Stage Venture","3 039 993","2017-01-01","https://www.crunchbase.com/organization/oxen9","","","","","1","","contact@oxen9.com"," ","","","","","","","","",""
"Hive2040","Kfar Saba","HIVE 2040 is a research and development VC fund traded at the Tel Aviv stock exchange.","https://hive2040.com","https://www.linkedin.com/company/hive-2040","Early Stage Venture","3 180 030","2021-01-01","https://www.crunchbase.com/organization/hive2040","","","","","1","1","-"," ","","","","","","","","",""
"Emerge Fund","Tel Aviv","Emerge Fund is a venture capital fund focused on assisting Israeli technology companies to create value through the Chinese market.","http://www.emerge.co.il/","https://www.linkedin.com/company/emerge-vc","-","3 302 690","2015-01-01","https://www.crunchbase.com/organization/emerge-fund","","","","","1","","-"," ","","","","","","","","",""
"Agrovision","Kiryat Malachi","Agro-Vision is an established agricultural venture capital firm founded by Bikurey Hasade.","https://agro-visions.com/","-","Seed","3 343 875","","https://www.crunchbase.com/organization/agrovision-37ce","","","","","1","","-"," ","","","","","","","","",""
"NetZero Tech Ventures","Ramat Gan","NetZero Technology Ventures is a climate and energy deep tech investor and company builder.","https://net-zero.vc/","https://www.linkedin.com/company/netzero-tech-ventures/","-","3 400 289","2022-01-01","https://www.crunchbase.com/organization/netzero-tech-ventures","","","","","1","1","info@net-zero.vc"," ","","","","","","","","",""
"Wanaka Capital Partners","Tel Aviv","Wanaka Capital Partners is a $50m venture fund, and is Israel's first fund targeted exclusively at early stage Israeli Mid-Tech companies.","http://www.wanakacapital.com","-","Early Stage Venture","3 416 246","2006-01-01","https://www.crunchbase.com/organization/wanaka-capital-partners","","","","","1","","info@wanaka.com"," ","","","","","","","","",""
"Clover Wolf Capital","Tel Aviv","Clover Wolf Capital is an investment firm.","-","-","-","3 441 567","","https://www.crunchbase.com/organization/clover-wolf-capital","","","","","1","1","-"," ","","","","","","","","",""
"Italian Chamber of Commerce - Tel Aviv","Tel Aviv","Italian Chamber of Commerce - Tel Aviv is a company that specializes in market research services.","http://www.italia-israel.com","https://www.linkedin.com/company/israel-italy-chamber-of-commerce","-","3 767 947","1955-01-01","https://www.crunchbase.com/organization/italian-chamber-of-commerce-tel-aviv","","","","","1","","office@italia-israel.com"," ","","","","","","","","",""
"MediPress Ventures","Ramat Gan","MediPress Ventures invests in medical R&D companies specializing in digital and advanced technologies.","http://medipressventures.com/","-","Early Stage Venture","3 783 775","2021-01-01","https://www.crunchbase.com/organization/medipress-ventures","","","","","1","1","-"," ","","","","","","","","",""
"Federman & Sons","Ramat Gan","Federman & Sons is israel's largest coffee manufacturer, distributer, importer and exporter of Turkish and Espresso coffee.","http://www.federman.co.il","https://www.linkedin.com/company/federman-&-sons-holdings/","-","3 791 001","1960-01-01","https://www.crunchbase.com/organization/federman-and-sons","","","","","1","","info@federman.co.il"," ","","","","","","","","",""
"Madanes Tech VC","Herzliya","Madanes Tech VC is a venture capital firm.","https://madanestech.com","https://www.linkedin.com/company/madanes-insurance-technology-innovation-lab","-","3 810 575","2017-03-01","https://www.crunchbase.com/organization/madanes-tech-vc","","","","","1","1","-"," ","","","","","","","","",""
"Arno Capital","Ramat Gan","Arno Capital provides non-bank support and financing solutions for real estate ventures.","https://www.arno-capital.com/","https://www.linkedin.com/company/arno-capital/about/","Late Stage Venture, Venture","3 833 444","2013-01-01","https://www.crunchbase.com/organization/arno-capital","","","","","1","","-"," ","","","","","","","","",""
"Evolution Venture Capital Fund LP.","Tel Aviv","Evolution Venture Capital Fund I LP is an expansion capital fund for medium and small size, revenue generating, technology based, Israeli","http://www.evolutionvc.com","-","Venture","3 855 300","2006-01-01","https://www.crunchbase.com/organization/evolution-venture-capital-fund-lp","","","","","1","","info@evolutionvc.com"," ","","","","","","","","",""
"Keren-Yam","Or Yehuda","Keren-Yam is a venture capital firm that invests in promising early stage blue-economy start-ups.","https://www.keren-yam.com/","https://www.linkedin.com/company/keren-yam/","-","3 856 858","2022-01-01","https://www.crunchbase.com/organization/keren-yam","","","","","1","","info@keren-yam.com"," ","","","","","","","","",""
"Pando Group","Tel Aviv","Pando Group is a financial company providing a venture capital fund.","http://www.pandogroup.com","-","-","3 872 126","","https://www.crunchbase.com/organization/pando-group","","","","","1","","contact@pandogroup.com"," ","","","","","","","","",""
"Camel Ventures","Herzliya","Camel Ventures is a venture capital firm based in Israel.","https://www.camel.ventures/","https://www.linkedin.com/company/camel-ventures/","Early Stage Venture","3 872 359","","https://www.crunchbase.com/organization/camel-ventures","","","","","1","","info@camel.ventures"," ","","","","","","","","",""
"Bronfman-Fisher International","Tel Aviv","Israeli Holding/Investment group","-","-","-","3 883 850","","https://www.crunchbase.com/organization/bronfman-fisher-international","","","","","1","","-"," ","","","","","","","","",""
"Veecy","Petah Tiqva","Veecy is a venture capital investment firm.","https://www.veecy.com","https://www.linkedin.com/company/veecy-micro-fund/","Early Stage Venture","3 906 690","","https://www.crunchbase.com/organization/veecy","","","","","1","","-"," ","","","","","","","","",""
"AHMSA Steel Israel","Herzliya","AHMSA Steel Israel Ltd a subsidiary of Altos Hornos de Mexico, the largest integrated steel producer, was founded in February 2004 as an","http://www.ahmsasteel.com","-","-","3 909 881","2004-02-01","https://www.crunchbase.com/organization/ahmsa-steel-israel","","","","","1","","commisr@ahmsa.com"," ","","","","","","","","",""
"Medmax Ventures","Herzliya","Medmax Ventures specializes in seed, startup, early venture, and growth capital financing.","-","-","-","3 964 600","1992-01-01","https://www.crunchbase.com/organization/medmax-ventures","","","","","1","","-"," ","","","","","","","","",""
"Ronin Investment Management","Tel Aviv","Ronin Investment Management is a firm that generates long-term profitability for its portfolio companies.","http://www.ronin-inv.co.il","-","-","4 003 013","2006-01-01","https://www.crunchbase.com/organization/ronin-investment-management","","","","","1","","Nurit.Nahum@ronin-inv.co.il"," ","","","","","","","","",""
"Precede Technologies","Ramat Hasharon","Precede Technologies partners with inventors, researchers and early stage ventures to identify commercially promising intellectual capital.","http://www.precede.co.il","-","-","4 009 046","2008-01-01","https://www.crunchbase.com/organization/precede-technologies","","","","","1","1","info@precede.co.il"," ","","","","","","","","",""
"Misgav Technology Center","Misgav","At the Misgav Venture Accelerator they are committed to building serious businesses in the life sciences and homeland security arenas with","http://www.misgav-venture.com","https://www.linkedin.com/company/trendlines","-","4 023 213","1992-01-01","https://www.crunchbase.com/organization/misgav-technology-center","","","","","1","","info@trendlines.com"," ","","","","","","","","",""
"DS Strategic Partners","Tel Aviv","Investing in early-stage companies with promising security and intelligence technologies","http://www.dsstrategicpartners.com/","https://www.linkedin.com/company/ds-strategic-partners?trk=nmp_rec_act_company_photo","Early Stage Venture, Seed","4 039 797","2014-01-01","https://www.crunchbase.com/organization/ds-strategic-partners","","","","","1","","contact@dsstrategicpartners.com"," ","","","","","","","","",""
"JTLV Capital","Yehud","JTLV Capital is an investment firm.","-","-","-","4 075 868","","https://www.crunchbase.com/organization/jtlv-capital","","","","","1","1","-"," ","","","","","","","","",""
"Granite Hacarmel","Netanya","Granite Hacarmel is involved in marketing and producing oil products in Israel.","http://www.granitehacarmel.co.il","https://www.linkedin.com/company/granite-hacarmel-investments-ltd-","-","4 081 800","1981-01-01","https://www.crunchbase.com/organization/granite-hacarmel","","","","","1","","info@granitehacarmel.co.il"," ","","","","","","","","",""
"PeriTech","Tel Aviv","PeriTech is an active investment fund.","http://www.peri-technologies.com","-","-","4 084 682","2015-01-01","https://www.crunchbase.com/organization/peritech","","","","","1","","-"," ","","","","","","","","",""
"Palestine Industrial Resources","Tel Aviv","Palestine Industrial Resources specializes in venture capital investments.","-","-","-","4 118 405","1996-01-01","https://www.crunchbase.com/organization/israel-industrial-resources","","","","","1","","-"," ","","","","","","","","",""
"Korea Israel Industrial R&D Foundation","Tel Aviv","Korea Israel Industrial R&D Foundation was founded in 1997","http://www.koril-rdf.or.kr/english/index.php","-","-","4 119 422","1997-01-01","https://www.crunchbase.com/organization/korea-israel-industrial-r-d-foundation","","","","","1","1","-"," ","","","","","","","","",""
"Michael Ilan Management and Investment Ltd.","Kadima","Michael Ilan Management and Investment Ltd. (MILMI) is an Israeli based holding and investment company.","http://michaelilan.com/","-","-","4 133 691","","https://www.crunchbase.com/organization/michael-ilan-management-and-investment-ltd","","","","","1","","-"," ","","","","","","","","",""
"Tao Tsuot","Petah Tiqva","Tao Tsuot Ltd. is an Israel-based company engaged in investment activities directly and through its subsidiaries and affiliated companies.","http://www.tao-t.com","-","Early Stage Venture","4 154 720","","https://www.crunchbase.com/organization/tao-tsuot","","","","","1","","Galite@tao-t.com"," ","","","","","","","","",""
"Isal Amlat Investments","Tel Aviv","A dynamic venture capital business that specializes in seed, growth, venture and expansion financing.","-","-","-","4 189 480","1993-01-01","https://www.crunchbase.com/organization/isal-amlat-investments","","","","","1","","-"," ","","","","","","","","",""
"Clal Finance Mutual Funds Ltd","Tel Aviv","Clal Finance is a financial institution outside the banking system.","http://www.clalfinance.com","-","-","4 191 536","","https://www.crunchbase.com/organization/clal-finance-mutual-funds-ltd","","","","","1","","info@clal-fin.com"," ","","","","","","","","",""
"Meitav Underwriting","Tel Aviv","Meitav Underwriting is an investment firm based in Tel Aviv, Israel.","-","-","-","4 209 510","","https://www.crunchbase.com/organization/meitav-underwriting","","","","","1","","-"," ","","","","","","","","",""
